,item number,data item,croydon text,croydon main reason for recording data item,essex text,essex main reason for recording local data item,sutton text,sutton main reason for recording local data item,camden text,camden main reason for recording local data item
408,Item 400,Counsellor / Therapist  Name,Counsellor / Therapist - Name,1. For social work practitioners and/or the child/YP,,,,,,
409,Item 401,Hospital services Name,Hospital services - Name,1. For social work practitioners and/or the child/YP,,,,,,
413,Item 405,Does child see anyone regularly regarding physical/emotional health?,Do you see anyone else regularly regarding your physical or emotional health?,1. For social work practitioners and/or the child/YP,,,,,,
414,Item 406,Who does child see regularly regarding physical/emotional health?,Please specify,1. For social work practitioners and/or the child/YP,,,,,,
415,Item 407,"If child has left care, do they have a copy of their health history?","If you've left care, have you had a copy of your health history?",1. For social work practitioners and/or the child/YP,,,,,,
416,Item 408,"If in care, has child had a health check in the last 12 months?","If you are still in care, have you had a health check in the last 12 months?",1. For social work practitioners and/or the child/YP,,,,,,
417,Item 409,Placement/care relevant details of child's medical history,Provide details of the child/young person's medical history which is significant to their care,1. For social work practitioners and/or the child/YP,,,,,,
441,Item 433,Child's access requirements?,Are there any specific access requirements?,1. For social work practitioners and/or the child/YP,,,,,,
442,Item 434,Details of child's access requirements,Please provide information,1. For social work practitioners and/or the child/YP,,,,,,
444,Item 436,Details on medication or medical interventions,"If yes, provide the reason for any medication",1. For social work practitioners and/or the child/YP,,,,,,
445,Item 437,Child/other worried about physical health?,Are you or anyone worried about your physical health at the moment?,1. For social work practitioners and/or the child/YP,,,,,,
447,Item 439,Does the child have emotional health problems affecting day-to-day living?,Do you have an emotional health problem that affects your day to day living?,1. For social work practitioners and/or the child/YP,,,,,,
448,Item 440,Details about emotional health problems affecting day-to-day living?,Please give details,1. For social work practitioners and/or the child/YP,,,,,,
449,Item 441,Child/other worried about emotional health?,Are you or anyone worried about your emotional health at the moment?,1. For social work practitioners and/or the child/YP,,,,,,
452,Item 444,Details on health (medical or mental including self harming risks),"Give more details of the health, medical or mental health issues including self-harming risks if relevant",1. For social work practitioners and/or the child/YP,,,,,,
453,Item 445,How can changes be made to improve emotional health?,"If yes, what might help to make a positive change?",1. For social work practitioners and/or the child/YP,,,,,,
454,Item 446,What will the child do in the case of unexpected health problems?,What will you do if you have unexpected problems with your health?,1. For social work practitioners and/or the child/YP,,,,,,
464,Item 456,Child undergoing age assessment?,Is the young person undergoing an Age Assessment?,1. For social work practitioners and/or the child/YP,,,,,,
465,Item 457,Details on child's age assessment,Give more details,1. For social work practitioners and/or the child/YP,,,,,,
466,Item 458,Child challenging decision of age assessment?,Or is the young person challenging the decision of one?,1. For social work practitioners and/or the child/YP,,,,,,
478,,,In Croydon there is a seprate space in the case files for recordning contacts,,,,,,,
491,Item 482,Details about child's ability to contact who they want to contact?,Please give details,1. For social work practitioners and/or the child/YP,,,,,,
494,Item 485,Contact (Address),Address & Postcode,1. For social work practitioners and/or the child/YP,,,,,,
495,Item 486,Contact (Telephone),Telephone,1. For social work practitioners and/or the child/YP,,,,,,
497,Item 488,Contact (age),Age,1. For social work practitioners and/or the child/YP,,,,,,
498,Item 489,Contact  (address),Address,1. For social work practitioners and/or the child/YP,,,,,,
499,Item 490,Contact (case number),Case No,1. For social work practitioners and/or the child/YP,,,,,,
512,Item 503,Child/other worried about friendship/relationship choices?,Are you or anyone that knows you worried about the choices you make about friendships and relationships?,1. For social work practitioners and/or the child/YP,,,,,,
516,Item 507,How can child make positive changes to friendships and relationships?,"If yes, what might help to make a positive change?",1. For social work practitioners and/or the child/YP,,,,,,
517,Item 508,What can child do if there are difficulties in relationships?,What will you do if there are difficulties with your relationships?,1. For social work practitioners and/or the child/YP,,,,,,
518,Item 509,Child's relationship/friendship aspirations/changes?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
519,Item 510,Measure of child's friendship/relationship aspirations/changes?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
520,Item 511,Actions to achieve friendship/relationship goals?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
521,Item 512,Who will perform actions to achieve friendship/relationship goals?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
522,Item 513,When will actions be taken to reach friendship/relationship goals?,When?,1. For social work practitioners and/or the child/YP,,,,,,
523,Item 514,Date of friendship/relationship form?,Date,1. For social work practitioners and/or the child/YP,,,,,,
524,Item 515,Friendship/relationship form score?,Score,1. For social work practitioners and/or the child/YP,,,,,,
525,Item 516,Child's views on friendships/relationships,My View - Views,1. For social work practitioners and/or the child/YP,,,,,,
526,Item 517,Worker's views on friendships/relationships,My Workers View - Views,1. For social work practitioners and/or the child/YP,,,,,,
527,Item 518,Other's views on friendships/relationships,Other people's view - Views,1. For social work practitioners and/or the child/YP,,,,,,
543,Item 534,"Child expectations, child will clean and tidy room",Maintain a clean and tidy room - Comments,1. For social work practitioners and/or the child/YP,,,,,,
544,Item 535,"Child expectations, child will respect household rules",Respect household rules - Comments,1. For social work practitioners and/or the child/YP,,,,,,
545,Item 536,"Child expectations, child will access education",Access education - Comments,1. For social work practitioners and/or the child/YP,,,,,,
546,Item 537,"Child expectation, child will follow guidance to maintain a health diet",Follow guidance to maintain a healthy diet - Comments,1. For social work practitioners and/or the child/YP,,,,,,
547,Item 538,"Child expectations, child will take on board support and advice",Take on board support and advice - Comments,1. For social work practitioners and/or the child/YP,,,,,,
548,Item 539,"Child expectations, other comments",Other - Comments,1. For social work practitioners and/or the child/YP,,,,,,
549,Item 540,Comments on expectations of child,Comments,1. For social work practitioners and/or the child/YP,,,,,,
553,Item 544,Others with parental responsibility,Another family member with PR - Name,1. For social work practitioners and/or the child/YP,,,,,,
572,Item 562,"Parent expectations, parent will attend appointments",Attend appointments - Comments,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,,,,
574,Item 564,"Parent expectations, other expectations",Other - Comments,1. For social work practitioners and/or the child/YP,,,,,,
575,Item 565,"Parent expectations, comments",Comments,1. For social work practitioners and/or the child/YP,,,,,,
576,Item 566,"SW expectations, SW should visit child at least every 4 weeks",Frequency of visits - should be at least every 4 weeks - Comments,1. For social work practitioners and/or the child/YP,,,,,,
577,Item 567,"SW expectations, other expectations",Other - Comments,1. For social work practitioners and/or the child/YP,,,,,,
578,Item 568,"SW expectations, comments",Comments,1. For social work practitioners and/or the child/YP,,,,,,
579,Item 569,"SW expectations, SW should visit carer at least every 6 weeks",Frequency of visits to carer- should be at least every 6 weeks - Comments,1. For social work practitioners and/or the child/YP,,,,,,
580,Item 570,"SW expectations on carer visits, other",Other - Comments,1. For social work practitioners and/or the child/YP,,,,,,
581,Item 571,Other comments on placement agreement,Comments,1. For social work practitioners and/or the child/YP,,,,,,
582,Item 572,Comments on placement rules,Comments,1. For social work practitioners and/or the child/YP,,,,,,
583,Item 573,"Placement, coming-in-time comments",Coming-in time - Comments,1. For social work practitioners and/or the child/YP,,,,,,
584,Item 574,"Placement bedtime, comments",Bedtime - Comments,1. For social work practitioners and/or the child/YP,,,,,,
585,Item 575,"Placement, jobs in house comments",Jobs in the house - Comments,1. For social work practitioners and/or the child/YP,,,,,,
586,Item 576,"Placement privacy, comments",Privacy - Comments,1. For social work practitioners and/or the child/YP,,,,,,
587,Item 577,"Placement smoking, comments",Smoking - Comments,1. For social work practitioners and/or the child/YP,,,,,,
588,Item 578,"Placement, pocket money comments",Pocket money - Comments,1. For social work practitioners and/or the child/YP,,,,,,
589,Item 579,"Placement, savings comments",Savings (minimum £5 per week) - Comments,1. For social work practitioners and/or the child/YP,,,,,,
590,Item 580,"Placement rules/issues, other",Any other issues - Comments,1. For social work practitioners and/or the child/YP,,,,,,
591,Item 581,"Placement, special payments needed?",Are any special payments needed? (e.g. for clothing or transport),1. For social work practitioners and/or the child/YP,,,,,,
592,Item 582,Who will organise special payments needed?,Who will organise any special payments? (This must be agreed and confirmed by managers),1. For social work practitioners and/or the child/YP,,,,,,
593,Item 583,Does anyone else need money to do the things they have promised to? (e.g. visit the child/young person),Does anyone else need money to do the things they have promised to? (e.g. visit the child/young person),1. For social work practitioners and/or the child/YP,,,,,,
618,Item 606,Date  Pathway Plan started,Started On,1. For social work practitioners and/or the child/YP,,,,,,
641,Item 629,Specify parallel permanency plan,Please specify,1. For social work practitioners and/or the child/YP,,,,,,
643,Item 631,Who will take permanency plan actions?,Who?,1. For social work practitioners and/or the child/YP,,,,,,
644,Item 632,When will permanency plan actions be made?,When?,1. For social work practitioners and/or the child/YP,,,,,,
645,Item 633,Which permanency plan do the actions relate to?,Which Permanency Plan does this relate to?,1. For social work practitioners and/or the child/YP,,,,,,
646,Item 634,What is the parallel plan for permanency?,What is the parallel plan for permanency for this child/young person?,1. For social work practitioners and/or the child/YP,,,,,,
647,Item 635,What area does the parallel plan address?,Area Addressed,1. For social work practitioners and/or the child/YP,,,,,,
648,Item 636,Plan aspirations/changes?,What are our aspirations? / What needs to change?,1. For social work practitioners and/or the child/YP,,,,,,
649,Item 637,Measures of plan aspirations/changes?,How will we know when it has been achieved?,1. For social work practitioners and/or the child/YP,,,,,,
650,Item 638,Actions to achieve plan aspirations/changes?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
651,Item 639,Who will make actions to meet goals or changes for plan,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
652,Item 640,When will the changes/actions be made by?,When?,1. For social work practitioners and/or the child/YP,,,,,,
653,Item 641,Child's plan worries?,What are we worried about?,1. For social work practitioners and/or the child/YP,,,,,,
657,Item 645,Other information relevant to the plan?,Other relevant information,1. For social work practitioners and/or the child/YP,,,,,,
658,Item 646,Child's preferred placement option,What is the preferred placement option for this child/young person?,1. For social work practitioners and/or the child/YP,,,,,,
659,Item 647,"If other placement type is selected, specify","If Other, please specify:",1. For social work practitioners and/or the child/YP,,,,,,
660,Item 648,Evidence in favour of preferred placement type?,What is the evidence that supports this choice of placement:,1. For social work practitioners and/or the child/YP,,,,,,
661,Item 649,Where will the child be placed?,Where is/will the child/young person be placed?,1. For social work practitioners and/or the child/YP,,,,,,
662,Item 650,"Why is the child not in their preferred placement, how will they be moved to their preferred placement?","If the child/young person is not in the preferred placement, please explain why, and outline what actions are being taken to secure a preferred placement:",1. For social work practitioners and/or the child/YP,,,,,,
666,Item 654,Child living arrangements?,What are the living arrangements for the child / young person and why have they been chosen?,1. For social work practitioners and/or the child/YP,,,,,,
667,Item 655,How has child chosen living arrangements?,What are the living arrangements for the child / young person and why have they been chosen?,1. For social work practitioners and/or the child/YP,,,,,,
668,Item 656,Child and siblings placed apart?,Are siblings being (or have been) placed apart?,1. For social work practitioners and/or the child/YP,,,,,,
669,Item 657,Reason for placing siblings apart?,What is the reason for this?,1. For social work practitioners and/or the child/YP,,,,,,
670,Item 658,How long will current placement last?,How long is it expected that this placement will last?,1. For social work practitioners and/or the child/YP,,,,,,
671,Item 659,Child's view on placement plan?,What are the child(ren)'s / young person(s)'s views about this plan?,1. For social work practitioners and/or the child/YP,,,,,,
679,Item 667,Status of other important claims in child's life,Other status,1. For social work practitioners and/or the child/YP,,,,,,
680,Item 668,Plans in place for accommodation once child has left care?,Are all plans in place for Accommodation once YP has left care?,1. For social work practitioners and/or the child/YP,,,,,,
681,Item 669,Panel date for Staying Put,If Staying Put please indicate Panel date,2. For management oversight of case decisions and accountability purposes,,,,,,
682,Item 670,Accommodation plans for independent child,If Independent accommodation plans for tenancy start date etc.,1. For social work practitioners and/or the child/YP,,,,,,
683,Item 671,Housing application forms completed and submitted?,Have housing application forms been completed and submitted?,1. For social work practitioners and/or the child/YP,,,,,,
684,Item 672,Date of submitting housing application?,"If so, please give date",1. For social work practitioners and/or the child/YP,,,,,,
685,Item 673,Housing register number?,Housing Register no,1. For social work practitioners and/or the child/YP,,,,,,
686,Item 674,Case considered at housing panel?,"Has the case been considered at Housing Panel? If so, please give date(s):",2. For management oversight of case decisions and accountability purposes,,,,,,
687,Item 675,Eligible for SNAP or Landlord Bond Scheme?,Is the young person eligible to be put forward for the Landlord Bond Scheme or a SNAP referral?,1. For social work practitioners and/or the child/YP,,,,,,
688,Item 676,Details of SNAP or Landlord Bond Scheme,"If yes, please give details?",1. For social work practitioners and/or the child/YP,,,,,,
689,Item 677,Is assistance being given to find private accommodation?,Is the young person being assisted to seek their own privately-rented accommodation?,1. For social work practitioners and/or the child/YP,,,,,,
690,Item 678,Other relevant housing information?,Other relevant information,1. For social work practitioners and/or the child/YP,,,,,,
691,Item 679,Carer and child signed License Agreement template?,Have the foster carer and young person signed copies of the Licence Agreement template?,1. For social work practitioners and/or the child/YP,,,,,,
692,Item 680,Proposed arrangement ratified by the Placement Stability Panel?,Has the proposed arrangement been ratified by the Placement Stability Panel? Date:,1. For social work practitioners and/or the child/YP,,,,,,
693,Item 681,Timeframe of proposed arrangement?,"How long is it proposed that the arrangement will last? , from :…………………………, to : …………………………",1. For social work practitioners and/or the child/YP,,,,,,
694,Item 682,Plan after current plan?,What would be the plan subsequently?,1. For social work practitioners and/or the child/YP,,,,,,
695,Item 683,Other relevant plan information?,Other relevant information,1. For social work practitioners and/or the child/YP,,,,,,
696,Item 684,Child lives with family?,Live with family,1. For social work practitioners and/or the child/YP,,,,,,
697,Item 685,Which family does the child live with?,"If so, whom?",1. For social work practitioners and/or the child/YP,,,,,,
698,Item 686,Transition to adult services within All-age Disability Service?,Transition to adult services within All-age Disability Service?,1. For social work practitioners and/or the child/YP,,,,,,
699,Item 687,Does the child have dependents?,Does the young person have any dependants?,1. For social work practitioners and/or the child/YP,,,,,,
700,Item 688,Child's desired outcome for dependents,Desired Outcome,1. For social work practitioners and/or the child/YP,,,,,,
701,Item 689,Actions to achieve child's desired outcome for independents?,Actions to Achieve Outcome,1. For social work practitioners and/or the child/YP,,,,,,
702,Item 690,"Who will take actions for desired outcome for child's dependents, and by when?",By whom & when (please give start & end dates),1. For social work practitioners and/or the child/YP,,,,,,
703,Item 691,What is the contingency plan if desired outcome for child's dependents cannot be made?,What would be the contingency plan if any of the above arrangements fall through or cannot be financed?,1. For social work practitioners and/or the child/YP,,,,,,
706,Item 694,Child under 18?,Is this child under 18?,,,,,,,
708,Item 696,Transition Plan,Transition Plan,1. For social work practitioners and/or the child/YP,,,,,,
716,Item 704,What action will be taken for a permanency plan?,Action,1. For social work practitioners and/or the child/YP,,,,,,
717,Item 705,Who will take action on a permanency plan?,Who?,1. For social work practitioners and/or the child/YP,,,,,,
718,Item 706,When will action be taken on a permanency plan?,When?,1. For social work practitioners and/or the child/YP,,,,,,
719,Item 707,What permanency plan does this relate to?,Which Permanency Plan does this relate to?,1. For social work practitioners and/or the child/YP,,,,,,
728,Item 716,Which professional will be involved in the plan?,Professional,1. For social work practitioners and/or the child/YP,,,,,,
729,Item 717,What agency will take on the plan?,Agency,1. For social work practitioners and/or the child/YP,,,,,,
730,Item 718,What is the agency's role in the plan?,Agency Role,1. For social work practitioners and/or the child/YP,,,,,,
734,Item 722,What is the agency's telephone number?,Telephone Number,1. For social work practitioners and/or the child/YP,,,,,,
735,Item 723,Young Person's Guardians,Young Person's Guardians,1. For social work practitioners and/or the child/YP,,,,,,
736,Item 724,What area is the care plan to take place in?,Young Person's Safety Mapping,1. For social work practitioners and/or the child/YP,,,,,,
737,Item 725,How can the child travel when in care?,How do I travel safely?,1. For social work practitioners and/or the child/YP,,,,,,
744,Item 732,Who can the child in care contact?,The person I can contact is...,1. For social work practitioners and/or the child/YP,,,,,,
745,Item 733,"The child's contact, if they are in danger",Their contact details are...,1. For social work practitioners and/or the child/YP,,,,,,
751,Item 739,Actions to achieve goals of permanency plan?,Actions to achieve this,1. For social work practitioners and/or the child/YP,,,,,,
752,Item 740,Who will perform the actions for the permanency plan goals?,Who will do this?,1. For social work practitioners and/or the child/YP,,,,,,
753,Item 741,When will the actions for the permanency plan goals be taken?,When?,1. For social work practitioners and/or the child/YP,,,,,,
754,Item 742,Comment on the progress of the permanency plan,Progress & Comment,1. For social work practitioners and/or the child/YP,,,,,,
758,Item 745,Is the SW completing the CLA request the assigned social worker?,Is this the Allocated Social Worker,1. For social work practitioners and/or the child/YP,,,,,,
760,Item 747,Has agreement to seek a placement been given by a panel?,Has agreement to seek a placement been given by a panel?,1. For social work practitioners and/or the child/YP,,,,,,
762,Item 749,Who is making the placement request,Placement requested by,1. For social work practitioners and/or the child/YP,,,,,,
769,Item 756,Is the CLA request for urgent placement?,Is this an emergency placement?,1. For social work practitioners and/or the child/YP,,,,,,
781,Item 768,Is the CLA request for UASC or unaccompanied minor?,Unaccompanied minor or asylum seeker?,1. For social work practitioners and/or the child/YP,,,,,,
787,Item 774,What type of placement will suit the child?,What type of placement do you think would meet our Child's / Young Person's need?,1. For social work practitioners and/or the child/YP,,,,,,
792,Item 779,What does the child want from a placement?,What does the Child / Young Person want from the placement?,1. For social work practitioners and/or the child/YP,,,,,,
794,Item 781,What good things can be taken from previous placements?,What is going well for this Child / Young Person that can be built on in the placement (outcomes)?,1. For social work practitioners and/or the child/YP,,,,,,
795,Item 782,View of independent officer for placement change?,View of the Independent Reviewing Officer to the placement change,1. For social work practitioners and/or the child/YP,,,,,,
796,Item 783,Who has granted the placement/change of placement?,Who has agreed to the new placement or change of placement?,1. For social work practitioners and/or the child/YP,,,,,,
802,Item 789,Do we know where the child's placement will be?,Do we already know where the child/young person is going?,1. For social work practitioners and/or the child/YP,,,,,,
809,Item 796,Is the placement request for an unregulated setting?,Is this request for an unregulated setting?,1. For social work practitioners and/or the child/YP,,,,,,
810,Item 797,Has the unregulated placement assessment been completed?,Has an Unregulated Setting Placement Assessment been completed?,1. For social work practitioners and/or the child/YP,,,,,,
811,Item 798,When was the unregulated placement assessment signed off?,Date Unregulated Setting Placement Assessment was signed off by Director?,1. For social work practitioners and/or the child/YP,,,,,,
812,Item 799,Placement options appraisal,Options Appraisal,1. For social work practitioners and/or the child/YP,,,,,,
818,Item 805,Details on other placement request reason,Other,1. For social work practitioners and/or the child/YP,,,,,,
846,Item 833,Name of manager agreeing to matching,Name of Manager who agreed matching,1. For social work practitioners and/or the child/YP,,,,,,
850,Item 837,Why did the previously in care child leave care?,If yes please indicate reason for previous discharge,1. For social work practitioners and/or the child/YP,,,,,,
852,Item 839,"In which LA was adoption, SGO or RO granted?","What local authority was the adoption, SGO or RO granted",1. For social work practitioners and/or the child/YP,,,,,,
861,Item 848,Other information to help identify a child's ideal placement?,Any other information which would help us to identify the best placement for this child/young person,1. For social work practitioners and/or the child/YP,,,,,,
864,Item 851,Who is the head of the CLA authorisation service?,Please select which Head of service,1. For social work practitioners and/or the child/YP,,,,,,
865,Item 852,Name of CLA request panel chair/approver?,Name of Approver/Panel Chair,1. For social work practitioners and/or the child/YP,,,,,,
866,Item 853,Details of CLA request,Details of Agreement,1. For social work practitioners and/or the child/YP,,,,,,
876,Item 863,Comments on child's transportation needs,Comments,1. For social work practitioners and/or the child/YP,,,,,,
877,Item 864,Details of review agreement,Details of Care Panel Agreement,1. For social work practitioners and/or the child/YP,,,,,,
878,Item 865,Date of review decision,Care Panel Decision Date,1. For social work practitioners and/or the child/YP,,,,,,
881,Item 868,Placement agency,Agency,1. For social work practitioners and/or the child/YP,,,,,,
883,Item 870,Has the high cost placement request been completed,High Cost Placement Review Complete,1. For social work practitioners and/or the child/YP,,,,,,
885,Item 872,Placement Request: Placement Band,Placement Type,1. For social work practitioners and/or the child/YP,,,,,,
886,Item 873,Placement Request: Banding,Band,1. For social work practitioners and/or the child/YP,,,,,,
893,Item 880,Placement request chair comments,Chair Comments,1. For social work practitioners and/or the child/YP,,,,,,
894,Item 881,Placement request sign off name,Signed Off By,1. For social work practitioners and/or the child/YP,,,,,,
897,Item 884,Head of Service agreement for placement?,Has agreement to seek a placement been given by a HoS?,1. For social work practitioners and/or the child/YP,,,,,,
898,Item 885,Which head of service agreed to placement?,Which Head of Service gave agreement?,1. For social work practitioners and/or the child/YP,,,,,,
899,Item 886,Details of head of service agreement,Details of Head of Service Agreement,1. For social work practitioners and/or the child/YP,,,,,,
900,Item 887,Head of service decision date,HoS Decision Date,1. For social work practitioners and/or the child/YP,,,,,,
901,Item 888,Is the placement request accurate and relevant?,Have you reviewed this request and confirmed the information provided is accurate and relevant?,1. For social work practitioners and/or the child/YP,,,,,,
902,Item 889,Manager authorising request,Authorising Manager,1. For social work practitioners and/or the child/YP,,,,,,
904,Item 891,Placement lead,Placement Lead,1. For social work practitioners and/or the child/YP,,,,,,
918,Item 905,Does the LA have fostering vacancies available?,Were there Croydon Fostering vacancies available?,1. For social work practitioners and/or the child/YP,,,,,,
919,Item 906,Why were the LA's fostering vacancies unused?,"If yes, why are they not being used?",1. For social work practitioners and/or the child/YP,,,,,,
920,Item 907,Name of manager who agreed to external placement,Name of Manager who agreed to go external,1. For social work practitioners and/or the child/YP,,,,,,
921,Item 908,Date external placement was agreed to,Date,1. For social work practitioners and/or the child/YP,,,,,,
922,Item 909,Is the placement on or off framework,Is this on or off framework?,1. For social work practitioners and/or the child/YP,,,,,,
923,Item 910,Why is the placement off framework,"If Off Framework, reasons why?",1. For social work practitioners and/or the child/YP,,,,,,
924,Item 911,Is the placement a SPOT purchase?,Is this a SPOT purchase?,1. For social work practitioners and/or the child/YP,,,,,,
925,Item 912,Which manager agreed to an off framework placement,Name of Manager who agreed to go off framework,1. For social work practitioners and/or the child/YP,,,,,,
926,Item 913,Date of off framework placement agreement,Date,1. For social work practitioners and/or the child/YP,,,,,,
930,Item 917,Placement location boundary,Placement Location,1. For social work practitioners and/or the child/YP,,,,,,
935,Item 922,Has the LA of placement been consulted,Have you consulted with the relevant Local Authority?,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,,,,
936,Item 923,What was the out of LA placement consultation outcome,What was the outcome of the conversation?,1. For social work practitioners and/or the child/YP,,,,,,
937,Item 924,What have you not spoken to the out of LA placement LA,Why have you not spoken to the relevant Local Authority?,1. For social work practitioners and/or the child/YP,,,,,,
938,Item 925,What will happen if the child goes missing?,"Should the child go missing, what are the arrangements for the return home interview?",1. For social work practitioners and/or the child/YP,,,,,,
939,Item 926,Is the placement unregulated/uninspected?,Is this an unregulated or uninspected placement?,1. For social work practitioners and/or the child/YP,,,,,,
940,Item 927,What type of placement is it?,What type of placement is it?,,,,,,,
942,Item 929,Has the LA seen the compliance documents?,Have we seen compliance documents?,1. For social work practitioners and/or the child/YP,,,,,,
943,Item 930,When will the LA see the compliance documents?,When will we see these?,1. For social work practitioners and/or the child/YP,,,,,,
944,Item 931,Is the LA satisfied with the compliance documents,Are we satisfied with these or are there concerns,1. For social work practitioners and/or the child/YP,,,,,,
945,Item 932,Concerns about placement compliance documents,Comments,1. For social work practitioners and/or the child/YP,,,,,,
947,Item 934,Date of placement visit,Date of visit,1. For social work practitioners and/or the child/YP,,,,,,
948,Item 935,Date of scheduled placement visit,Date of scheduled visit,1. For social work practitioners and/or the child/YP,,,,,,
953,Item 940,Placement provider invoice address,Provider Invoice Address,1. For social work practitioners and/or the child/YP,,,,,,
965,Item 952,Foster placement email,Placement Email Address,1. For social work practitioners and/or the child/YP,,,,,,
968,Item 955,Foster placement service level,Service Level,1. For social work practitioners and/or the child/YP,,,,,,
970,Item 957,Foster placement proposed start date,Proposed Start Date,1. For social work practitioners and/or the child/YP,,,,,,
983,Item 970,Is the foster placement jointly funded,Is this jointly funded?,1. For social work practitioners and/or the child/YP,,,,,,
984,Item 971,Who is providing joint funding for foster placement,Who is jointly funding this?,1. For social work practitioners and/or the child/YP,,,,,,
985,Item 972,Is there joint funding for adult social care,Adult's Social Care,1. For social work practitioners and/or the child/YP,,,,,,
986,Item 973,Is there joint funding for children's social care,Children's Social Care,1. For social work practitioners and/or the child/YP,,,,,,
987,Item 974,Is there joint funding for the clinical commissioning group,Clinical Commissioning Group,1. For social work practitioners and/or the child/YP,,,,,,
988,Item 975,Is there joint funding for education,Education,1. For social work practitioners and/or the child/YP,,,,,,
989,Item 976,Funding amounts per funding stream,Funding Commitment,1. For social work practitioners and/or the child/YP,,,,,,
990,Item 977,Childrens social care funding amount,CSC - Funding Commitment,1. For social work practitioners and/or the child/YP,,,,,,
991,Item 978,Clinical commissioning group's funding amount,CCG - Funding Commitment,1. For social work practitioners and/or the child/YP,,,,,,
992,Item 979,Education funding amount,Education - Funding Commitment,1. For social work practitioners and/or the child/YP,,,,,,
993,Item 980,Adult social care funding amount,Adults Social Care - Funding Commitment,1. For social work practitioners and/or the child/YP,,,,,,
994,Item 981,Comments on funding,Comments,1. For social work practitioners and/or the child/YP,,,,,,
995,Item 982,Placement supervisor comments,Oversight and Comment of Placement Team Supervisor/Manager,1. For social work practitioners and/or the child/YP,,,,,,
996,Item 983,Placement authoriser name,Authoriser,1. For social work practitioners and/or the child/YP,,,,,,
997,Item 984,Has senior manager agreed to allow a placement?,Has agreement to seek a placement been given by a Duty EDT Senior Manager?,1. For social work practitioners and/or the child/YP,,,,,,
998,Item 985,Name of senior manger agreeing to placement request,Name of EDT Duty Senior Manager who has given agreement?,1. For social work practitioners and/or the child/YP,,,,,,
999,Item 986,Details of placement agreement,Details of Agreement,1. For social work practitioners and/or the child/YP,,,,,,
1000,Item 987,Decision of senior manger on placement request date,EDT Duty Senior Manager Decision Date,1. For social work practitioners and/or the child/YP,,,,,,
1001,Item 988,Has the proposed placement been agreed to?,The Proposed Placement is agreed,1. For social work practitioners and/or the child/YP,,,,,,
1002,Item 989,Why was the placement disagreed to?,Reasons for disagreeing,1. For social work practitioners and/or the child/YP,,,,,,
1003,Item 990,Placement authoriser name?,Authoriser,1. For social work practitioners and/or the child/YP,,,,,,
1006,Item 993,Child's CLA status,CLA Legal Status,1. For social work practitioners and/or the child/YP,,,,,,
1044,Item 1029,What help does child need with immigration,Please specify,1. For social work practitioners and/or the child/YP,,,,,,
1045,Item 1030,Referred to Asylum Support Services?,Referral to National Asylum Support Service?,1. For social work practitioners and/or the child/YP,,,,,,
1046,Item 1031,Position of asylum claim?,What is the current position of the child/young person's asylum claim?,1. For social work practitioners and/or the child/YP,,,,,,
1050,Item 1034,When was the latest early help care plan?,Date of latest EHCP,1. For social work practitioners and/or the child/YP,,1. For social work practitioners and/or the child/YP,,,,
1061,Item 1044,CLA review as single or multiple sessions?,Was the CLA Review carried out as a single meeting or series of meetings?,2. For management oversight of case decisions and accountability purposes,,,,,,
1063,Item 1046,CLA review due date?,CLA Review Due Date,2. For management oversight of case decisions and accountability purposes,,1. For social work practitioners and/or the child/YP,,,,
1100,Item 1083,Consultation paper completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1103,Item 1086,How many parents are involved with the child?,How many parents are involved with this child?,1. For social work practitioners and/or the child/YP,,,,,,
1104,Item 1087,"If no parents are involved with the child, why?","If no parents involved, what is the reason for this?",1. For social work practitioners and/or the child/YP,,,,,,
1105,Item 1088,What are the parent's views on the review?,Parent(s)’ views :,2. For management oversight of case decisions and accountability purposes,,,,,,
1109,Item 1092,Is the parent consultation paper completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1110,Item 1093,What are the carer's views on the review?,Carer’s views :,2. For management oversight of case decisions and accountability purposes,,,,,,
1111,Item 1094,Was the carer consultation review completed?,Consultation Paper completed?,2. For management oversight of case decisions and accountability purposes,,,,,,
1112,Item 1095,What are the chair's comments on the CLA plan?,Chair’s comments on plan,2. For management oversight of case decisions and accountability purposes,,,,,,
1117,Item 1100,Date care panel agreed to a placement,Date Care Panel Agreed Placement,2. For management oversight of case decisions and accountability purposes,,,,,,
1118,Item 1101,Date current placement started,Date current Placement started,2. For management oversight of case decisions and accountability purposes,,,,,,
1119,Item 1102,Why is the child having a care panel?,Reason for coming to panel,2. For management oversight of case decisions and accountability purposes,,,,,,
