data category,item number,data item,annex a  information captured,903 information captured,croydon text,croydon options,croydon forms,croydon reason for collecton,essex text,essex options,essex forms,essex reason for collection,sutton text,sutton options,sutton forms,sutton reason for collection,camden text,camden options,camden forms,camden reason for collection,were users asked specifically about this item (y/n),did users find it useful?,why was it found useful/not useful?
,Iterm 1308,What area should the permanency plan address?,,,Area Addressed,CLA Progress Report (Worker): Areas of Need,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
,Iterm 1309,"What are the aspirations for the permanency plan, what should it address?",,,What are our aspirations? / What needs to change?,,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
,Iterm 1310,Measures for goals of permanency plan?,,,How will we know when it has been achieved?,,CLA Progress Report (Worker),,,,,,,,,,,,,,,,
,Item 1311,Date CLA referral was received,,,Date Referral Received,ReferralDate,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1312,Date of last meeting with child,,,Last Review Date,MeetLastDate,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1313,Date of planned review,,,Review Planned Date,MeetStartDate,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1314,Date next meeting is due,,,Review Due Date,MeetDueDate,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1317,Date plan form was completed,,,Review Minutes Completed,FormEndDate,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1325,CLA letter to child,,,Summary,LACSUMMARY,Letter to Child / Young Person (CLA Review),,,,,,,,,,,,,,,,
,Item 1348,SW completing report,,,Social Worker Completing the Report,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1349,Report completed end date,,,Review Report Completed,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1350,SW's view on what is going well with the pathway plan,,,What is working well?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1351,SW's view on what to be worried about with the pathway plan,,,What are we worried about?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1352,SW's view on the impact of the pathway plan on the child ,,,What is the impact on the young person?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1353,SW's view on grey areas in the pathway plan?,,,Grey areas - areas to explore further?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1354, SW's view on other important pathway plan details,,,Other relevant information,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1355, SW's assessment and analysis of the pathway plan,,,Assessment & Analysis,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1356,Which permanency plans do these actions relate to?,,,Which Permanency Plan does this relate to?,Pathway Plan Review - Workers Report: PP,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1357,SW's view on aspirations/changes for the child's identification?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1358,SW's views on measures of changes  for the child's identification?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1359,Actions to achieve changes  for the child's identification?,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1360,Who will perform actions  for the child's identification?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1361,When will the actions be made to make changes  for the child's identification?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1362,Progress and comment on actions being made  for the child's identification,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1363,What are the SW's aspirations/goals for the child's finances?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1364,Measure's for SW's goals for the child's finances?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1365,Actions to achieve SW's finance goals for the child,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1366,Who will perform actions to achieve SW's goals for child's finances?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1367,When will the actions be taken to achieve SW's goals for child's finances,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1368,Comments and progress towards SW's goals for child's finances,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1369,What are the SW's aspirations/goals for the child's accommodation?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1370,Measures for SW's goals for the child's accommodation?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1371,Actions to achieve SW's accommodation goals for the child,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1372,Who will perform actions to achieve SW's goals for child's accommodation?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1373,When will the actions be taken to achieve SW's goals for child's accommodation?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1374,Comments and progress towards SW's goals for child's accomodation,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1375,What are the SW's aspirations/goals for the child's education?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1376,Measures for SW's goals for the child's education?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1377,Actions to achieve SW's education goals for the child,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1378,Who will perform actions to achieve SW's goals for child's education?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1379,When will the actions be taken to achieve SW's goals for child's education?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1380,Comments and progress towards SW's goals for child's education,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1381,What are the SW's aspirations/goals for the child's health?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1382,Measures for SW's goals for the child's health?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1383,Actions to achieve SW's health goals for the child?,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1384,Who will perform actions to achieve SW's goals for child's health?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1385,When will the actions be taken to achieve SW's goals for child's health?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1386,Comments and progress towards SW's goals for child's health,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1387,What are the SW's aspirations/goals for the child's family?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1388,Measures for SW's goals for the child's family?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1389,Actions to achieve SW's family goals for the child?,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1390,Who will perform actions to achieve SW's goals for child's family?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1391,When will the actions be taken to achieve SW's goals for child's family?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1392,Comments and progress towards SW's goals for child's family,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1393,What are the SW's aspirations/goals for the child's skills?,,,What are our aspirations? / What needs to change?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1394,Measures for SW's goals for the child's skills?,,,How will we know when it has been achieved?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1395,Actions to achieve SW's skill goals for the child?,,,Actions to achieve this,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1396,Who will perform actions to achieve SW's goals for child's skills?,,,Who will do this?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1397,When will the actions be taken to achieve SW's goals for child's skills?,,,When?,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1398,Comments and progress towards SW's goals for child's skills,,,Progress & Comment,,Pathway Plan Review - Workers Report,,,,,,,,,,,,,,,,
,Item 1399,Date of placement agreement meeting,,,Date of Agreement meeting,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1400,Who can arrange a school/college place for a child?,,,"If the child/young person is not in school/college, who will liaise to arrange a place?",,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1401,How will the child/young person get to their place of education?,,,How will the child/young person get to school/college?,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1402,Details of young person's views on the plan,,,Young person's views - Details,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1404,Carer's views on the plan,,,Carer's views - Details,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1405,Plan supervising social worker name,,,Supervising Social Worker - Name,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1406,Date agreed with person with parental responsibility,,,Parent/Person with PR - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1407,Date agreed with other family members with parental responsibility,,,Another family member with PR - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1408,Date agreed with carer/key worker,,,Carer / Keyworker - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1409,Date agreed with allocated social worker,,,Allocated Social Worker - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1410,Date agreed with Supervising social worker,,,Supervising Social Worker - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1411,Date agreed with other relevant parties,,,Other - Date,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1428,Signature of supervising social worker,,,Supervising Social Worker - Signature,,Placement Agreement Form,,,,,,,,,,,,,,,,
,Item 1429,Signature of other relevant parties,,,Other - Signature,,Placement Agreement Form,,,,,,,,,,,,,,,,
Visit Recording,,,,,In Croydon visit details are seprately recorded in Case Notes,,,,,,,,,,,,,,,,,,
Delegated Authority,,,,,In Croydon this is done as a seprate document rather than a form as part of the CLA process,,,,,,,,,,,,,,,,,,
IRO review of CLA specific,,,,,In Croydon these details are filled in in a seprate form 'Midway Review' used by IROs,,,,,,,,,,,,,,,,,,
